SNO,CropType,Temp,SoilMoisture,Irrigate
1,Tomato,30.9,731,0
2,Banana,28.5,307,1
3,Cotton,26.5,246,0
4,Banana,32.8,698,0
5,Cotton,28.7,650,0
6,Rice,31.6,247,1
7,Cotton,26.1,252,0
8,Tomato,25.2,163,0
9,Millet,34.9,751,0
10,Rice,32.1,375,1
11,Maize,24.1,724,0
12,Tomato,28.8,294,1
13,Tomato,24.9,541,0
14,Tomato,29.3,340,0
15,Tomato,33.7,609,0
16,Millet,30.0,850,0
17,Maize,27.8,321,0
18,Tomato,26.7,736,0
19,Tomato,25.7,258,0
20,Cotton,24.8,271,0
21,Millet,29.9,327,0
22,Tomato,31.0,495,0
23,Cotton,27.0,696,0
24,Maize,31.0,308,1
25,Cotton,34.8,576,0
26,Millet,26.9,155,0
27,Millet,33.1,724,0
28,Maize,27.7,266,0
29,Tomato,27.0,595,0
30,Cotton,34.7,576,0
31,Tomato,30.8,239,1
32,Maize,34.3,447,0
33,Tomato,26.4,748,0
34,Banana,32.4,612,0
35,Maize,28.7,482,0
36,Banana,27.8,154,1
37,Rice,26.5,802,0
38,Millet,31.5,393,0
39,Tomato,33.3,660,0
40,Tomato,34.1,689,0
41,Banana,26.1,602,0
42,Tomato,34.1,485,0
43,Tomato,30.5,441,0
44,Rice,28.3,339,1
45,Cotton,24.2,670,0
46,Banana,31.5,592,0
47,Maize,28.6,602,0
48,Millet,28.7,842,0
49,Banana,29.0,539,0
50,Millet,31.7,212,1
51,Maize,27.8,371,0
52,Tomato,26.1,331,0
53,Maize,29.1,345,1
54,Rice,28.3,296,1
55,Millet,27.4,374,0
56,Cotton,34.5,483,0
57,Tomato,29.3,695,0
58,Maize,26.9,575,0
59,Tomato,29.2,597,0
60,Tomato,34.0,331,0
61,Rice,29.8,665,0
62,Tomato,32.1,692,0
63,Millet,25.3,730,0
64,Tomato,34.3,160,1
65,Banana,31.2,328,1
66,Cotton,27.2,198,0
67,Banana,25.6,349,0
68,Banana,25.0,606,0
69,Millet,26.7,641,0
70,Millet,26.3,514,0
71,Tomato,30.6,156,1
72,Banana,24.9,781,0
73,Tomato,30.3,353,0
74,Banana,28.0,188,1
75,Cotton,33.3,368,0
76,Rice,27.3,617,0
77,Cotton,30.3,233,1
78,Rice,28.5,837,0
79,Cotton,27.7,678,0
80,Banana,33.1,563,0
81,Cotton,34.8,662,0
82,Cotton,24.4,606,0
83,Maize,31.6,439,0
84,Rice,26.4,336,0
85,Cotton,24.4,517,0
86,Maize,30.9,695,0
87,Rice,29.6,807,0
88,Millet,27.6,672,0
89,Tomato,24.1,395,0
90,Rice,26.0,696,0
91,Rice,34.0,376,1
92,Banana,33.7,476,0
93,Millet,34.8,387,0
94,Cotton,30.5,505,0
95,Maize,25.9,603,0
96,Millet,30.3,251,1
97,Tomato,26.6,520,0
98,Cotton,28.8,337,0
99,Rice,34.7,672,0
100,Maize,26.8,545,0
101,Maize,25.1,245,0
102,Millet,32.2,345,1
103,Tomato,27.5,609,0
104,Banana,28.4,780,0
105,Cotton,28.4,418,0
106,Banana,31.3,177,1
107,Cotton,27.1,821,0
108,Millet,27.5,841,0
109,Tomato,24.6,817,0
110,Millet,29.7,803,0
111,Maize,30.0,322,1
112,Rice,34.7,755,0
113,Banana,34.5,403,1
114,Maize,33.0,443,0
115,Tomato,33.4,251,1
116,Maize,34.8,504,0
117,Rice,27.6,303,0
118,Rice,26.1,233,0
119,Tomato,30.0,827,0
120,Rice,32.0,499,0
121,Banana,31.5,661,0
122,Banana,28.8,624,0
123,Millet,27.9,250,0
124,Cotton,29.6,779,0
125,Rice,28.9,190,1
126,Rice,31.5,664,0
127,Rice,32.8,432,0
128,Maize,28.0,715,0
129,Millet,24.9,390,0
130,Maize,30.0,674,0
131,Tomato,33.5,372,0
132,Maize,30.9,347,1
133,Millet,27.3,546,0
134,Banana,31.1,451,0
135,Tomato,32.7,703,0
136,Rice,28.2,577,0
137,Tomato,26.6,175,0
138,Maize,29.5,224,1
139,Banana,30.8,825,0
140,Banana,28.4,757,0
141,Millet,31.3,174,1
142,Tomato,34.9,327,0
143,Banana,30.3,572,0
144,Cotton,30.8,470,0
145,Banana,34.8,732,0
146,Rice,29.4,583,0
147,Banana,29.3,418,1
148,Tomato,34.1,301,0
149,Rice,31.1,622,0
150,Rice,29.7,729,0
151,Rice,29.8,393,1
152,Banana,29.0,370,1
153,Millet,33.8,597,0
154,Maize,31.5,511,0
155,Cotton,34.4,774,0
156,Maize,34.6,810,0
157,Rice,26.3,177,0
158,Rice,28.9,400,0
159,Tomato,31.4,673,0
160,Maize,31.8,545,0
161,Banana,26.5,190,1
162,Tomato,27.3,351,0
163,Cotton,24.1,620,0
164,Millet,28.6,786,0
165,Millet,28.3,571,0
166,Millet,32.0,642,0
167,Cotton,29.3,428,0
168,Maize,34.5,806,0
169,Tomato,26.5,833,0
170,Cotton,30.1,752,0
171,Maize,31.6,604,0
172,Cotton,30.2,729,0
173,Tomato,33.0,350,0
174,Cotton,27.3,848,0
175,Banana,32.9,152,1
176,Millet,31.9,240,1
177,Banana,31.3,651,0
178,Rice,29.3,685,0
179,Tomato,26.3,433,0
180,Cotton,28.6,692,0
181,Cotton,26.6,403,0
182,Millet,34.3,725,0
183,Maize,32.7,811,0
184,Cotton,26.5,228,0
185,Rice,30.7,752,0
186,Maize,29.6,417,0
187,Cotton,31.4,827,0
188,Cotton,29.1,277,0
189,Rice,29.9,398,1
190,Maize,31.9,162,1
191,Cotton,28.8,841,0
192,Cotton,32.8,746,0
193,Tomato,34.3,642,0
194,Rice,34.1,679,0
195,Cotton,28.6,756,0
196,Tomato,29.7,399,0
197,Banana,29.1,269,1
198,Maize,30.3,540,0
199,Rice,27.6,342,0
200,Cotton,25.0,671,0
201,Maize,29.7,505,0
202,Maize,29.0,488,0
203,Banana,25.2,625,0
204,Rice,27.7,326,0
205,Tomato,30.6,396,0
