Timestamp,sensor_id,ambient_temp,Temperature_C,humidity,SoilMoisture_ADC,iri_durat_mins,forcasted_needs,crop_type,section_id,WaterOn
33:27.9,SENS-1003,31.55862221,30.98028492,34,3687,15,Medium,Soybean,Sec-A,0
23:27.9,SENS-1013,32.08101447,27.17041419,62,3005,45,Low,,Sec-D,0
03:27.9,SENS-1019,30.61065126,31.88613123,78,3281,30,High,Wheat,Sec-D,0
43:27.9,SENS-1014,36.07618523,37.13817914,80,984,30,Low,Soybean,Sec-C,
23:27.9,SENS-1010,25.3487987,26.59507975,43,3040,15,High,Maize,Sec-D,0
13:27.9,SENS-1006,25.48422402,26.59517826,41,3694,30,Medium,Soybean,Sec-B,0
33:27.9,SENS-1002,36.20050264,37.47527689,71,1639,,High,Maize,Sec-B,1
53:27.9,SENS-1007,34.98264144,32.60460837,49,827,15,Medium,Maize,Sec-C,0
43:27.9,SENS-1013,28.02416218,25.18315368,82,2730,30,High,Soybean,Sec-A,0
53:27.9,SENS-1017,30.11386767,31.25536026,79,3531,15,Medium,Maize,Sec-A,0
33:27.9,SENS-1002,23.5547827,25.21949384,53,3051,45,Medium,Maize,Sec-D,0
53:27.9,SENS-1002,26.14845259,25.20562148,88,355,30,nan,Wheat,Sec-B,0
33:27.9,SENS-1017,28.34732754,29.45177363,72,3055,,Medium,,Sec-A,0
33:27.9,SENS-1011,17.78618217,16.52031853,63,1347,30,nan,,Sec-C,0
03:27.9,SENS-1006,18.05633905,17.650493,54,3204,15,Medium,Wheat,Sec-C,0
03:27.9,SENS-1011,21.59478659,24.62627482,79,2935,15,Low,Soybean,Sec-B,0
13:27.9,SENS-1010,25.01802368,21.92301328,58,3876,30,Medium,Rice,Sec-C,0
23:27.9,SENS-1011,33.47723934,29.885484,86,1863,,Low,Rice,Sec-C,0
13:27.9,SENS-1016,21.32627817,22.55185555,68,126,,Low,Rice,Sec-B,0
33:27.9,SENS-1012,18.75077467,19.52617779,60,3177,,Medium,Wheat,Sec-D,0
03:27.9,SENS-1011,37.36562339,36.79389261,85,3056,15,Low,Wheat,Sec-D,0
33:27.9,SENS-1006,27.31425578,26.6453422,76,603,30,nan,Maize,Sec-C,0
13:27.9,SENS-1006,29.72225777,28.40516923,72,3870,45,High,Rice,Sec-D,0
03:27.9,SENS-1011,23.47191996,19.45151088,79,3449,15,Medium,Soybean,Sec-D,0
03:27.9,SENS-1007,24.3798092,24.73370365,52,1928,,Low,Soybean,Sec-C,0
53:27.9,SENS-1010,27.06894105,28.66553554,73,1013,30,Medium,Rice,Sec-D,0
13:27.9,SENS-1005,18.33540008,21.09403854,67,50,,nan,Rice,Sec-C,0
03:27.9,SENS-1007,28.79232803,30.25418811,49,9999,45,Medium,Rice,Sec-A,0
03:27.9,SENS-1009,24.32991391,24.39616786,52,3533,,Medium,Wheat,Sec-B,0
03:27.9,SENS-1018,29.83895323,26.2498375,74,3367,,Low,Wheat,Sec-B,0
23:27.9,SENS-1004,23.35453773,24.38976033,81,3368,45,nan,Wheat,Sec-D,0
43:27.9,SENS-1002,39.56124501,39.11366911,45,3797,30,High,,Sec-D,0
03:27.9,SENS-1012,27.88617086,27.91901665,79,2826,15,High,Soybean,Sec-D,0
13:27.9,SENS-1018,24.03052097,21.65373443,71,1430,30,Low,Soybean,Sec-B,0
13:27.9,SENS-1016,37.98913432,32.93526947,89,1792,45,Medium,Maize,Sec-A,0
03:27.9,SENS-1002,19.61320055,20.6749381,84,2861,,Low,Wheat,Sec-A,0
03:27.9,SENS-1016,28.27430268,29.25318157,37,1636,30,Low,,Sec-B,0
33:27.9,SENS-1011,18.33030101,16.24197926,79,3476,15,Low,,Sec-A,0
13:27.9,SENS-1011,21.39466669,20.03088371,50,3417,45,Medium,Soybean,Sec-B,0
13:27.9,SENS-1015,32.87458207,29.18116742,30,1645,30,nan,Wheat,Sec-A,0
43:27.9,SENS-1003,33.59865585,32.43079948,84,2467,15,Low,Maize,Sec-C,0
53:27.9,SENS-1010,28.30962551,29.02820969,37,1205,45,Medium,Wheat,Sec-C,0
